instance,family,n,m,p,seed,labelling,algorithm,bitset,mis_count,median_seconds,min_seconds,max_seconds,repeats,recursion_nodes,unproductive_calls,pivot_candidates,pivot_intersections,peak_kib
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_pivot,0,109,0.00026175007224082947,0.00025416607968509197,0.0002974171657115221,5,292,28,598,0,31.3
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_tomita,0,109,0.00031333393417298794,0.00029966607689857483,0.00036433315835893154,5,213,4,419,419,32.3
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_pivot_p,0,109,0.0002662090118974447,0.00026008300483226776,0.0002827499993145466,5,316,49,496,0,31.3
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_ikgp,0,109,0.00031649996526539326,0.000309790950268507,0.00033045816235244274,5,231,22,402,402,32.3
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_basic_bit,1,109,0.0004420001059770584,0.0004386669024825096,0.00045354198664426804,5,746,,,,6.5
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_pivot_bit,1,109,0.0003174168523401022,0.0003157078754156828,0.000326832989230752,5,367,,,,6.3
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_tomita_bit,1,109,0.00032275007106363773,0.00031804200261831284,0.00032950006425380707,5,224,,,,6.9
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_basic,0,49,0.00015474995598196983,0.00014741718769073486,0.00020470889285206795,5,213,103,0,0,27.7
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_pivot,0,49,0.0001205839216709137,0.00011875014752149582,0.00013920781202614307,5,128,20,224,0,27.6
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_tomita,0,49,0.00016129203140735626,0.00015579210594296455,0.00018479186110198498,5,108,9,201,201,28.3
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_pivot_p,0,49,0.00012233410961925983,0.00011945795267820358,0.00013129203580319881,5,137,28,178,0,27.6
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_ikgp,0,49,0.00015545799396932125,0.0001529159490019083,0.00016079191118478775,5,115,16,172,172,28.3
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_basic_bit,1,49,0.0001563329715281725,0.00015366612933576107,0.00016441615298390388,5,213,,,,5.6
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_pivot_bit,1,49,0.00013804202899336815,0.00013787508942186832,0.00014412496238946915,5,140,,,,5.4
er_n26_p0.7_s1,er,26,229,0.7,1,random,bk_tomita_bit,1,49,0.00015220791101455688,0.00015187496319413185,0.00015841680578887463,5,101,,,,5.9
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_basic,0,195,0.005907332990318537,0.005812166957184672,0.006125417072325945,5,7915,7135,0,0,45.3
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_pivot,0,195,0.0008934170473366976,0.0008562090806663036,0.0010133329778909683,5,906,221,2899,0,45.2
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_tomita,0,195,0.0009647500701248646,0.0009224580135196447,0.0010788750369101763,5,506,13,1307,1307,46.9
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_pivot_p,0,195,0.0012422918807715178,0.0012018750421702862,0.001342749921604991,5,1377,681,2704,0,45.1
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_ikgp,0,195,0.0010190419852733612,0.0009749999735504389,0.0011089588515460491,5,591,99,1327,1327,46.9
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_basic_bit,1,195,0.003674000035971403,0.003662874922156334,0.003708540927618742,5,7915,,,,7.9
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_pivot_bit,1,195,0.0007087499834597111,0.0007062079384922981,0.0007188329473137856,5,844,,,,7.5
er_n26_p0.3_s2,er,26,95,0.3,2,random,bk_tomita_bit,1,195,0.0007672500796616077,0.0007637909147888422,0.0007759579457342625,5,507,,,,8.3
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_basic,0,122,0.000570792006328702,0.0005449999589473009,0.0006810410413891077,5,848,520,0,0,31.7
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_pivot,0,122,0.0003659590147435665,0.00035529211163520813,0.00041683297604322433,5,409,99,929,0,31.8
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_tomita,0,122,0.0004087081179022789,0.00038529117591679096,0.00046624988317489624,5,265,13,561,561,32.0
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_pivot_p,0,122,0.00040449993684887886,0.00039616599678993225,0.0004439170006662607,5,491,172,712,0,32.0
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_ikgp,0,122,0.00043083401396870613,0.00042466609738767147,0.00045591709204018116,5,324,70,538,538,32.0
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_basic_bit,1,122,0.000491082901135087,0.00048587494529783726,0.0005029579624533653,5,848,,,,6.5
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_pivot_bit,1,122,0.0003321249969303608,0.0003302500117570162,0.0003376249223947525,5,376,,,,6.3
er_n26_p0.5_s2,er,26,158,0.5,2,random,bk_tomita_bit,1,122,0.0003849170170724392,0.00038304110057651997,0.00039050006307661533,5,271,,,,6.9
er_n26_p0.7_s2,er,26,223,0.7,2,random,bk_basic,0,64,0.00016287481412291527,0.00015379209071397781,0.00021366705186665058,5,224,86,0,0,28.1
er_n26_p0.7_s2,er,26,223,0.7,2,random,bk_pivot,0,64,0.00014650006778538227,0.00014170818030834198,0.0001680420245975256,5,159,25,307,0,28.1
er_n26_p0.7_s2,er,26,223,0.7,2,random,bk_tomita,0,64,0.00017587491311132908,0.00017145788297057152,0.00020133284851908684,5,122,5,224,224,28.0
